Value,Metric,Group,Age,Region,Gender,Income,Education,Date
,Probability_Job_Loss,All,,,,,,1978-01-01
,Probability_Job_Loss,All,,,,,,1978-02-01
,Probability_Job_Loss,All,,,,,,1978-03-01
,Probability_Job_Loss,All,,,,,,1978-04-01
,Probability_Job_Loss,All,,,,,,1978-05-01
,Probability_Job_Loss,All,,,,,,1978-06-01
,Probability_Job_Loss,All,,,,,,1978-07-01
,Probability_Job_Loss,All,,,,,,1978-08-01
,Probability_Job_Loss,All,,,,,,1978-09-01
,Probability_Job_Loss,All,,,,,,1978-10-01
,Probability_Job_Loss,All,,,,,,1978-11-01
,Probability_Job_Loss,All,,,,,,1978-12-01
,Probability_Job_Loss,All,,,,,,1979-01-01
,Probability_Job_Loss,All,,,,,,1979-02-01
,Probability_Job_Loss,All,,,,,,1979-03-01
,Probability_Job_Loss,All,,,,,,1979-04-01
,Probability_Job_Loss,All,,,,,,1979-05-01
,Probability_Job_Loss,All,,,,,,1979-06-01
,Probability_Job_Loss,All,,,,,,1979-07-01
,Probability_Job_Loss,All,,,,,,1979-08-01
,Probability_Job_Loss,All,,,,,,1979-09-01
,Probability_Job_Loss,All,,,,,,1979-10-01
,Probability_Job_Loss,All,,,,,,1979-11-01
,Probability_Job_Loss,All,,,,,,1979-12-01
,Probability_Job_Loss,All,,,,,,1980-01-01
,Probability_Job_Loss,All,,,,,,1980-02-01
,Probability_Job_Loss,All,,,,,,1980-03-01
,Probability_Job_Loss,All,,,,,,1980-04-01
,Probability_Job_Loss,All,,,,,,1980-05-01
,Probability_Job_Loss,All,,,,,,1980-06-01
,Probability_Job_Loss,All,,,,,,1980-07-01
,Probability_Job_Loss,All,,,,,,1980-08-01
,Probability_Job_Loss,All,,,,,,1980-09-01
,Probability_Job_Loss,All,,,,,,1980-10-01
,Probability_Job_Loss,All,,,,,,1980-11-01
,Probability_Job_Loss,All,,,,,,1980-12-01
,Probability_Job_Loss,All,,,,,,1981-01-01
,Probability_Job_Loss,All,,,,,,1981-02-01
,Probability_Job_Loss,All,,,,,,1981-03-01
,Probability_Job_Loss,All,,,,,,1981-04-01
,Probability_Job_Loss,All,,,,,,1981-05-01
,Probability_Job_Loss,All,,,,,,1981-06-01
,Probability_Job_Loss,All,,,,,,1981-07-01
,Probability_Job_Loss,All,,,,,,1981-08-01
,Probability_Job_Loss,All,,,,,,1981-09-01
,Probability_Job_Loss,All,,,,,,1981-10-01
,Probability_Job_Loss,All,,,,,,1981-11-01
,Probability_Job_Loss,All,,,,,,1981-12-01
,Probability_Job_Loss,All,,,,,,1982-01-01
,Probability_Job_Loss,All,,,,,,1982-02-01
,Probability_Job_Loss,All,,,,,,1982-03-01
,Probability_Job_Loss,All,,,,,,1982-04-01
,Probability_Job_Loss,All,,,,,,1982-05-01
,Probability_Job_Loss,All,,,,,,1982-06-01
,Probability_Job_Loss,All,,,,,,1982-07-01
,Probability_Job_Loss,All,,,,,,1982-08-01
,Probability_Job_Loss,All,,,,,,1982-09-01
,Probability_Job_Loss,All,,,,,,1982-10-01
,Probability_Job_Loss,All,,,,,,1982-11-01
,Probability_Job_Loss,All,,,,,,1982-12-01
,Probability_Job_Loss,All,,,,,,1983-01-01
,Probability_Job_Loss,All,,,,,,1983-02-01
,Probability_Job_Loss,All,,,,,,1983-03-01
,Probability_Job_Loss,All,,,,,,1983-04-01
,Probability_Job_Loss,All,,,,,,1983-05-01
,Probability_Job_Loss,All,,,,,,1983-06-01
,Probability_Job_Loss,All,,,,,,1983-07-01
,Probability_Job_Loss,All,,,,,,1983-08-01
,Probability_Job_Loss,All,,,,,,1983-09-01
,Probability_Job_Loss,All,,,,,,1983-10-01
,Probability_Job_Loss,All,,,,,,1983-11-01
,Probability_Job_Loss,All,,,,,,1983-12-01
,Probability_Job_Loss,All,,,,,,1984-01-01
,Probability_Job_Loss,All,,,,,,1984-02-01
,Probability_Job_Loss,All,,,,,,1984-03-01
,Probability_Job_Loss,All,,,,,,1984-04-01
,Probability_Job_Loss,All,,,,,,1984-05-01
,Probability_Job_Loss,All,,,,,,1984-06-01
,Probability_Job_Loss,All,,,,,,1984-07-01
,Probability_Job_Loss,All,,,,,,1984-08-01
,Probability_Job_Loss,All,,,,,,1984-09-01
,Probability_Job_Loss,All,,,,,,1984-10-01
,Probability_Job_Loss,All,,,,,,1984-11-01
,Probability_Job_Loss,All,,,,,,1984-12-01
,Probability_Job_Loss,All,,,,,,1985-01-01
,Probability_Job_Loss,All,,,,,,1985-02-01
,Probability_Job_Loss,All,,,,,,1985-03-01
,Probability_Job_Loss,All,,,,,,1985-04-01
,Probability_Job_Loss,All,,,,,,1985-05-01
,Probability_Job_Loss,All,,,,,,1985-06-01
,Probability_Job_Loss,All,,,,,,1985-07-01
,Probability_Job_Loss,All,,,,,,1985-08-01
,Probability_Job_Loss,All,,,,,,1985-09-01
,Probability_Job_Loss,All,,,,,,1985-10-01
,Probability_Job_Loss,All,,,,,,1985-11-01
,Probability_Job_Loss,All,,,,,,1985-12-01
,Probability_Job_Loss,All,,,,,,1986-01-01
,Probability_Job_Loss,All,,,,,,1986-02-01
,Probability_Job_Loss,All,,,,,,1986-03-01
,Probability_Job_Loss,All,,,,,,1986-04-01
,Probability_Job_Loss,All,,,,,,1986-05-01
,Probability_Job_Loss,All,,,,,,1986-06-01
,Probability_Job_Loss,All,,,,,,1986-07-01
,Probability_Job_Loss,All,,,,,,1986-08-01
,Probability_Job_Loss,All,,,,,,1986-09-01
,Probability_Job_Loss,All,,,,,,1986-10-01
,Probability_Job_Loss,All,,,,,,1986-11-01
,Probability_Job_Loss,All,,,,,,1986-12-01
,Probability_Job_Loss,All,,,,,,1987-01-01
,Probability_Job_Loss,All,,,,,,1987-02-01
